day,lunar_day_name,lunar_day,week_day,week_day_name,day_type,day_type_id
20171016,八月廿七日,0827,1,星期一,工作日,2
20171017,八月廿八日,0828,2,星期二,工作日,2
20171018,八月廿九日,0829,3,星期三,工作日,2
20171019,八月三十日,0830,4,星期四,工作日,2
20171020,九月初一,0901,5,星期五,工作日,2
20171021,九月初二,0902,6,星期六,双休日,3
20171022,九月初三,0903,7,星期天,双休日,3
20171023,九月初四,0904,1,星期一,工作日,2
20171024,九月初五,0905,2,星期二,工作日,2
20171025,九月初六,0906,3,星期三,工作日,2
20171026,九月初七,0907,4,星期四,工作日,2
20171027,九月初八,0908,5,星期五,工作日,2
20171028,九月初九,0909,6,星期六,节假日,1
20171029,九月初十,0910,7,星期天,双休日,3
20171030,九月十一日,0911,1,星期一,工作日,2
20171031,九月十二日,0912,2,星期二,工作日,2
20171101,九月十三日,0913,3,星期三,工作日,2
20171102,九月十四日,0914,4,星期四,工作日,2
20171103,九月十五日,0915,5,星期五,工作日,2
20171104,九月十六日,0916,6,星期六,双休日,3
20171105,九月十七日,0917,7,星期天,双休日,3
20171106,九月十八日,0918,1,星期一,工作日,2
20171107,九月十九日,0919,2,星期二,工作日,2
20171108,九月二十日,0920,3,星期三,工作日,2
20171109,九月廿一日,0921,4,星期四,工作日,2
20171110,九月廿二日,0922,5,星期五,工作日,2
20171111,九月廿三日,0923,6,星期六,双休日,3
20171112,九月廿四日,0924,7,星期天,双休日,3
20171113,九月廿五日,0925,1,星期一,工作日,2
20171114,九月廿六日,0926,2,星期二,工作日,2
20171115,九月廿七日,0927,3,星期三,工作日,2
20171116,九月廿八日,0928,4,星期四,工作日,2
20171117,九月廿九日,0929,5,星期五,工作日,2
20171118,十月初一,1001,6,星期六,双休日,3
20171119,十月初二,1002,7,星期天,双休日,3
20171120,十月初三,1003,1,星期一,工作日,2
20171121,十月初四,1004,2,星期二,工作日,2
20171122,十月初五,1005,3,星期三,工作日,2
20171123,十月初六,1006,4,星期四,工作日(节日),4
20171124,十月初七,1007,5,星期五,工作日,2
20171125,十月初八,1008,6,星期六,双休日,3
20171126,十月初九,1009,7,星期天,双休日,3
20171127,十月初十,1010,1,星期一,工作日,2
20171128,十月十一日,1011,2,星期二,工作日,2
20171129,十月十二日,1012,3,星期三,工作日,2
20171130,十月十三日,1013,4,星期四,工作日,2
20171201,十月十四日,1014,5,星期五,工作日,2
20171202,十月十五日,1015,6,星期六,双休日,3
20171203,十月十六日,1016,7,星期天,双休日,3
20171204,十月十七日,1017,1,星期一,工作日,2
20171205,十月十八日,1018,2,星期二,工作日,2
20171206,十月十九日,1019,3,星期三,工作日,2
20171207,十月二十日,1020,4,星期四,工作日,2
20171208,十月廿一日,1021,5,星期五,工作日,2
20171209,十月廿二日,1022,6,星期六,双休日,3
20171210,十月廿三日,1023,7,星期天,双休日,3
20171211,十月廿四日,1024,1,星期一,工作日,2
20171212,十月廿五日,1025,2,星期二,工作日,2
20171213,十月廿六日,1026,3,星期三,工作日,2
20171214,十月廿七日,1027,4,星期四,工作日,2
20171215,十月廿八日,1028,5,星期五,工作日,2
20171216,十月廿九日,1029,6,星期六,双休日,3
20171217,十月三十日,1030,7,星期天,双休日,3
20171218,十一月初一,1101,1,星期一,工作日,2
20171219,十一月初二,1102,2,星期二,工作日,2
20171220,十一月初三,1103,3,星期三,工作日,2
20171221,十一月初四,1104,4,星期四,工作日,2
20171222,十一月初五,1105,5,星期五,工作日,2
20171223,十一月初六,1106,6,星期六,双休日,3
20171224,十一月初七,1107,7,星期天,节假日,1
20171225,十一月初八,1108,1,星期一,工作日(节日),4
20171226,十一月初九,1109,2,星期二,工作日,2
20171227,十一月初十,1110,3,星期三,工作日,2
20171228,十一月十一日,1111,4,星期四,工作日,2
20171229,十一月十二日,1112,5,星期五,工作日,2
20171230,十一月十三日,1113,6,星期六,节假日,1
20171231,十一月十四日,1114,7,星期天,节假日,1
20180101,十一月十五日,1115,1,星期一,节假日,1
20180102,十一月十六日,1116,2,星期二,工作日,2
20180103,十一月十七日,1117,3,星期三,工作日,2
20180104,十一月十八日,1118,4,星期四,工作日,2
20180105,十一月十九日,1119,5,星期五,工作日,2
20180106,十一月二十日,1120,6,星期六,双休日,3
20180107,十一月廿一日,1121,7,星期天,双休日,3
20180108,十一月廿二日,1122,1,星期一,工作日,2
20180109,十一月廿三日,1123,2,星期二,工作日,2
20180110,十一月廿四日,1124,3,星期三,工作日,2
20180111,十一月廿五日,1125,4,星期四,工作日,2
20180112,十一月廿六日,1126,5,星期五,工作日,2
20180113,十一月廿七日,1127,6,星期六,双休日,3
20180114,十一月廿八日,1128,7,星期天,双休日,3
20180115,十一月廿九日,1129,1,星期一,工作日,2
20180116,十一月三十日,1130,2,星期二,工作日,2
20180117,十二月初一,1201,3,星期三,工作日,2
20180118,十二月初二,1202,4,星期四,工作日,2
20180119,十二月初三,1203,5,星期五,工作日,2
20180120,十二月初四,1204,6,星期六,双休日,3
20180121,十二月初五,1205,7,星期天,双休日,3
20180122,十二月初六,1206,1,星期一,工作日,2
20180123,十二月初七,1207,2,星期二,工作日,2
20180124,十二月初八,1208,3,星期三,工作日(节日),4
20180125,十二月初九,1209,4,星期四,工作日,2
20180126,十二月初十,1210,5,星期五,工作日,2
20180127,十二月十一日,1211,6,星期六,双休日,3
20180128,十二月十二日,1212,7,星期天,双休日,3
20180129,十二月十三日,1213,1,星期一,工作日,2
20180130,十二月十四日,1214,2,星期二,工作日,2
20180131,十二月十五日,1215,3,星期三,工作日,2
20180201,十二月十六日,1216,4,星期四,工作日,2
20180202,十二月十七日,1217,5,星期五,工作日,2
20180203,十二月十八日,1218,6,星期六,双休日,3
20180204,十二月十九日,1219,7,星期天,双休日,3
20180205,十二月二十日,1220,1,星期一,工作日,2
20180206,十二月廿一日,1221,2,星期二,工作日,2
20180207,十二月廿二日,1222,3,星期三,工作日,2
20180208,十二月廿三日,1223,4,星期四,工作日,2
20180209,十二月廿四日,1224,5,星期五,工作日,2
20180210,十二月廿五日,1225,6,星期六,双休日,3
20180211,十二月廿六日,1226,7,星期天,工作日,2
20180212,十二月廿七日,1227,1,星期一,工作日,2
20180213,十二月廿八日,1228,2,星期二,工作日,2
20180214,十二月廿九日,1229,3,星期三,工作日(节日),4
20180215,十二月三十日,1230,4,星期四,节假日,1
20180216,正月初一,0101,5,星期五,节假日,1
20180217,正月初二,0102,6,星期六,节假日,1
20180218,正月初三,0103,7,星期天,节假日,1
20180219,正月初四,0104,1,星期一,节假日,1
20180220,正月初五,0105,2,星期二,节假日,1
20180221,正月初六,0106,3,星期三,节假日,1
20180222,正月初七,0107,4,星期四,工作日,2
20180223,正月初八,0108,5,星期五,工作日,2
20180224,正月初九,0109,6,星期六,工作日,2
20180225,正月初十,0110,7,星期天,双休日,3
20180226,正月十一日,0111,1,星期一,工作日,2
20180227,正月十二日,0112,2,星期二,工作日,2
20180228,正月十三日,0113,3,星期三,工作日,2
20180301,正月十四日,0114,4,星期四,工作日,2
20180302,正月十五日,0115,5,星期五,工作日(节日),4
20180303,正月十六日,0116,6,星期六,双休日,3
20180304,正月十七日,0117,7,星期天,双休日,3
20180305,正月十八日,0118,1,星期一,工作日,2
20180306,正月十九日,0119,2,星期二,工作日,2
20180307,正月二十日,0120,3,星期三,工作日,2
20180308,正月廿一日,0121,4,星期四,工作日(节日),4
20180309,正月廿二日,0122,5,星期五,工作日,2
20180310,正月廿三日,0123,6,星期六,双休日,3
20180311,正月廿四日,0124,7,星期天,双休日,3
20180312,正月廿五日,0125,1,星期一,工作日,2
20180313,正月廿六日,0126,2,星期二,工作日,2
20180314,正月廿七日,0127,3,星期三,工作日,2
20180315,正月廿八日,0128,4,星期四,工作日,2
20180316,正月廿九日,0129,5,星期五,工作日,2
20180317,二月初一,0201,6,星期六,双休日,3
20180318,二月初二,0202,7,星期天,双休日,3
20180319,二月初三,0203,1,星期一,工作日,2
20180320,二月初四,0204,2,星期二,工作日,2
20180321,二月初五,0205,3,星期三,工作日,2
20180322,二月初六,0206,4,星期四,工作日,2
20180323,二月初七,0207,5,星期五,工作日,2
20180324,二月初八,0208,6,星期六,双休日,3
20180325,二月初九,0209,7,星期天,双休日,3
20180326,二月初十,0210,1,星期一,工作日,2
20180327,二月十一日,0211,2,星期二,工作日,2
20180328,二月十二日,0212,3,星期三,工作日,2
20180329,二月十三日,0213,4,星期四,工作日,2
20180330,二月十四日,0214,5,星期五,工作日,2
20180331,二月十五日,0215,6,星期六,双休日,3
20180401,二月十六日,0216,7,星期天,双休日,3
20180402,二月十七日,0217,1,星期一,工作日,2
20180403,二月十八日,0218,2,星期二,工作日,2
20180404,二月十九日,0219,3,星期三,工作日,2
20180405,二月二十日,0220,4,星期四,节假日,1
20180406,二月廿一日,0221,5,星期五,节假日,1
20180407,二月廿二日,0222,6,星期六,节假日,1
20180408,二月廿三日,0223,7,星期天,工作日,2
20180409,二月廿四日,0224,1,星期一,工作日,2
20180410,二月廿五日,0225,2,星期二,工作日,2
20180411,二月廿六日,0226,3,星期三,工作日,2
20180412,二月廿七日,0227,4,星期四,工作日,2
20180413,二月廿八日,0228,5,星期五,工作日,2
20180414,二月廿九日,0229,6,星期六,双休日,3
20180415,二月三十日,0230,7,星期天,双休日,3
20180416,三月初一,0301,1,星期一,工作日,2
20180417,三月初二,0302,2,星期二,工作日,2
20180418,三月初三,0303,3,星期三,工作日,2
20180419,三月初四,0304,4,星期四,工作日,2
20180420,三月初五,0305,5,星期五,工作日,2
20180421,三月初六,0306,6,星期六,双休日,3
20180422,三月初七,0307,7,星期天,双休日,3
20180423,三月初八,0308,1,星期一,工作日,2
20180424,三月初九,0309,2,星期二,工作日,2
20180425,三月初十,0310,3,星期三,工作日,2
20180426,三月十一日,0311,4,星期四,工作日,2
20180427,三月十二日,0312,5,星期五,工作日,2
20180428,三月十三日,0313,6,星期六,工作日,2
20180429,三月十四日,0314,7,星期天,节假日,1
20180430,三月十五日,0315,1,星期一,节假日,1
20180501,三月十六日,0316,2,星期二,节假日,1
20180502,三月十七日,0317,3,星期三,工作日,2
20180503,三月十八日,0318,4,星期四,工作日,2
20180504,三月十九日,0319,5,星期五,工作日,2
20180505,三月二十日,0320,6,星期六,双休日,3
20180506,三月廿一日,0321,7,星期天,双休日,3
20180507,三月廿二日,0322,1,星期一,工作日,2
20180508,三月廿三日,0323,2,星期二,工作日,2
20180509,三月廿四日,0324,3,星期三,工作日,2
20180510,三月廿五日,0325,4,星期四,工作日,2
20180511,三月廿六日,0326,5,星期五,工作日,2
20180512,三月廿七日,0327,6,星期六,双休日,3
20180513,三月廿八日,0328,7,星期天,节假日,1
20180514,三月廿九日,0329,1,星期一,工作日,2
20180515,四月初一,0401,2,星期二,工作日,2
20180516,四月初二,0402,3,星期三,工作日,2
20180517,四月初三,0403,4,星期四,工作日,2
20180518,四月初四,0404,5,星期五,工作日,2
20180519,四月初五,0405,6,星期六,双休日,3
20180520,四月初六,0406,7,星期天,节假日,1
20180521,四月初七,0407,1,星期一,工作日,2
20180522,四月初八,0408,2,星期二,工作日,2
20180523,四月初九,0409,3,星期三,工作日,2
20180524,四月初十,0410,4,星期四,工作日,2
20180525,四月十一日,0411,5,星期五,工作日,2
20180526,四月十二日,0412,6,星期六,双休日,3
20180527,四月十三日,0413,7,星期天,双休日,3
20180528,四月十四日,0414,1,星期一,工作日,2
20180529,四月十五日,0415,2,星期二,工作日,2
20180530,四月十六日,0416,3,星期三,工作日,2
20180531,四月十七日,0417,4,星期四,工作日,2
20180601,四月十八日,0418,5,星期五,工作日(节日),4
20180602,四月十九日,0419,6,星期六,双休日,3
20180603,四月二十日,0420,7,星期天,双休日,3
20180604,四月廿一日,0421,1,星期一,工作日,2
20180605,四月廿二日,0422,2,星期二,工作日,2
20180606,四月廿三日,0423,3,星期三,工作日,2
20180607,四月廿四日,0424,4,星期四,工作日,2
20180608,四月廿五日,0425,5,星期五,工作日,2
20180609,四月廿六日,0426,6,星期六,双休日,3
20180610,四月廿七日,0427,7,星期天,双休日,3
20180611,四月廿八日,0428,1,星期一,工作日,2
20180612,四月廿九日,0429,2,星期二,工作日,2
20180613,四月三十日,0430,3,星期三,工作日,2
20180614,五月初一,0501,4,星期四,工作日,2
20180615,五月初二,0502,5,星期五,工作日,2
20180616,五月初三,0503,6,星期六,节假日,1
20180617,五月初四,0504,7,星期天,节假日,1
20180618,五月初五,0505,1,星期一,节假日,1
20180619,五月初六,0506,2,星期二,工作日,2
20180620,五月初七,0507,3,星期三,工作日,2
20180621,五月初八,0508,4,星期四,工作日,2
20180622,五月初九,0509,5,星期五,工作日,2
20180623,五月初十,0510,6,星期六,双休日,3
20180624,五月十一日,0511,7,星期天,双休日,3
20180625,五月十二日,0512,1,星期一,工作日,2
