user,star,eval,content,votes,date
夕阳,2014-02-17,4.5机智坚强狗屎运也好的金发梅姨，一波三折又十足分量的故事，本以为该结束了高潮又来。结局无止境的战争，解放后走掉一批法西斯又来一批法西斯，众生丑恶的面孔给电影大大加分。狂热分子乌合之众哪个年代何种历史背景皆能看到他们奇葩的存在,力荐,5,0
随喜,2011-10-23,有阴谋有爱情，有仇恨有宽容。唯一的bug是女主为什么在不需要伪装的时候依然染成金发呢？,力荐,5,0
Panda的阴影,2018-12-05,故事真是三波九折、峰回路转、跌宕起伏、相当精彩，以至于观影时我都在纳闷到底有多少戏份来源于真实事件、又有多少情节为增加戏剧性而添油加醋进去的？瑞秋是幸运的，在历经艰难困苦、被人陷害之下，最后还是凭借一本「黑皮书」洗清罪名、真相大白。而对于人性的叵测不值得信赖，战争的背景下只是将其放大，因为在现代社会里依然少不了各种尔虞我诈、勾心斗角之事。P.S.：没想到这部电影还被国内引进“删减”上映过。＆ 豆瓣的剧情简介与影片内容出入挺大。,推荐,4,0
小狄凶许,2011-07-28,过去的，事。没有英雄，没有永远，只是一口气。爱一个人，不是时间的磨砺，不是对你好与不好，而是我清楚，我爱着你。,力荐,5,0
OMG42,2010-10-23,就是要范霍文才给力！,推荐,4,0
翠墨待书,2010-03-01,高潮迭起，善恶在生死之间苦苦挣扎，命悬一线……是以谍战片,力荐,5,0
欢乐分裂,2018-12-02,3.5；一波三折，扣人心弦，反转之反转，两个半小时看得提心吊胆（虽篇幅够长，但情节推进仍觉偏快），女主的坚韧忍耐、机智忠诚、有情有义令人感佩；战争时期的非常态最能暴露人性黑暗，求生与贪欲照见每个人的高贵与鄙陋，人间没有绝对的正义与非正义，只有利己与利人的区别。,推荐,4,0
★☆☆☆☆,2009-06-15,"荷兰人自我反思的杰作，远比《色戒》出色。

记住，不要看中国大陆太监版的，要看荷兰版的！看荷兰版的！看荷兰版的！看荷兰版的！看荷兰版的！！！！",推荐,4,2
京片儿,2008-12-29,情节足够曲折。有对于善恶的思考。尤其是战后战俘营一段。经历了诸多波折后，女主角“到什么时候才是个头？”的问题，时至今日也没有得到解答吧。,还行,3,0
孙此方,2009-12-26,擦。我看的竟是阉割版！！！别说床戏了，连爆乳都没！！！,推荐,4,0
时间之葬,2008-06-12,范霍文依然香艳，却更加深刻,力荐,5,3
今生、唯爱,2013-10-30,我不敢想象，没有斯大林和俄国，犹太人会不会就此灭族了。二战影片很多，与这同类型也不少，但这部绝对无法让人忘怀，剧情上比色戒更丰满,推荐,4,0
Lady Fiesta,2008-08-31,情节紧张的片子.  转折太厉害了..当然美丽的女主真的为这片牺牲了很多....具体不好说,推荐,4,0
磁凝胶,2008-07-25,一部相当不错的电影，色戒模仿的对象，犹太人的梦，荷兰人不愿提起的二战后对待所谓荷奸的故事,力荐,5,1
私房歌,2011-03-22,死亡、侈靡、情色充斥了整部影片，在那个年代，犹太人只求安稳地活着已属奢望。,推荐,4,0
YOJIN,2009-08-24,"(很多人拿""色戒""来比这部电影..二种感情的输出!根本是二种模式的电影!怎么比?不是只要露肉+女间谍的组合就要拿来比的!) 很多人爱的女主角,我并不觉得她演的有多么的精彩,整体效果就像是个""黑白电影""里跳出来的女人,不是说她演出那个年代的神韵,而是她的演技太过于肢体化!表面化.",推荐,4,0
[已注销],2009-09-20,看完这部，更加让人感觉《色戒》的低级、猥琐和变态。同样的题材，同样的暴露，同样的政治敏感，黑皮书表现出来的却是一种对人类战争意识本质的极为深刻的反省，而色戒却展示的是变态，赤裸裸的人格扭曲和变态。色戒这样电影多了，久而久之，中国人也会变得猥琐低级。,力荐,5,0
终结者T-800,2009-10-21,"精彩!扣人心弦!有人把这部当成欧洲版色戒,我想说这太抬举色戒了,根本就不在一个档次.",力荐,5,0
南條某葉,2009-10-02,德国人比我想的奔放，一开始以为类似色戒，后来发现相比色戒，他有内容多了,推荐,4,0
|,2009-03-21,太曲折可信度反而低了 尽管本来就是虚构的 必须说女主角太好看了,力荐,5,1
低于海平面,2010-08-01,好多演员都能说两国话，van Houten这部片儿说四国话，以色列语，与德国大兵换成德语，和加拿大红十字就英语，加上本片的语言荷兰语，加上之前《陪你到最后》的好印象，更爱Carrice van Houten啦！同是二战女间谍有关，色戒咋差那么多呢？,力荐,5,0
不是雪莉是雪梨,2012-06-18,这是一个很精彩的电影，故事结构很紧凑也很跌宕。这个女人真的太美了！好爱她。表情永远都那么淡定从容，也很聪明，内心力量强大。,推荐,4,0
Broderick,2012-07-23,和托纳托雷三部曲之一的《西西里的美丽传说》同样题材，战胜国只不过成为了另一个法西斯。,推荐,4,0
人民私仆凹凸曼,2010-03-05,荷兰版色戒，最后的结局很意外。。。就是未删节版2个半小时太长了，还有很多穿帮bug,力荐,5,1
L.John,2012-06-18,看了这个突然想起老外对《十三钗》的评价，发现他们真是自己打自己的嘴巴,未打星,-1,1
hiphop,2007-12-12,虽然有欧洲片子节奏偏慢的缺点，而且场面偏小，缺少历史厚重感，但是故事很真实，民族主义的色彩很浓,推荐,4,0
J.Wen,2010-04-24,被媒体忽视，被总菊误导的一部精彩绝伦的好电影，节奏和剧情堪称完美。相比之下，《色.戒》表述方向不一样，在气场上确实略输一筹，但都是一等一的好片。,力荐,5,1
beige babe,2011-07-21,"
现在的电影人都喜欢把情欲和二战联系在一起。这部电影还算不错，没有<色戒>残忍。比较好接受。",还行,3,0
找自己,2013-02-15,没想到战争和悬疑融合的这么好，喜欢。强烈推荐。现在的时代不是相信任何人的时代。,力荐,5,0
▒▒▒,2011-05-29,很激动人心的一部片子，到了中间高潮部分就已经猜出谁是叛徒了，演员剧本都很赞！,力荐,5,0
lara,2010-10-05,"对于在战争里始终坚持自己信仰的人真的是很敬佩，然而有些人足够幸运，牺牲带来的是美好自由的国家，而有些人不够幸运，得到的是连上映一部电影都需要删减三分之一才河蟹的国家。。。
",推荐,4,0
口腔溃疡,2012-09-10,被低估的二战影片，如果有些细节再推敲一下的话，很多方面比辛德勒的名单更伟大。女主角怎么这么好看腻,推荐,4,1
Scioist.yir,2009-06-12,我是水日合于射手的百分百乐观派，但是看过这个会对人性失望，当然，一眨眼还是相信一切都会好起来~~,力荐,5,0
E!f,2009-11-18,"在那信任都会成为杀生之祸的年代。
爱情其实也在悄悄萌芽。

> <看过这么多柯南的我没想出来谁才是叛徒真惭愧T T.
荷兰语听的爽~",力荐,5,0
xīn,2015-01-31,资料馆2015.1.31.4pm 全片放置在以色列建国后的回忆中，以抵抗组织中的败类作为最大的复仇者（类似《色戒》中王力宏的角色）、德军军官做英雄，将战后发泄怒火的民众塑造得比德军更残暴，整个故事的立场和讲述方式非常可疑。在相对主义图景中历史变得含混，也许是以普遍排犹主义为以色列建国背书。,未打星,-1,0
咸鱼突刺,2012-01-20,二战题材、地下军、间谍什么的题材总是少不了有一位婀娜多姿的曼妙女郎滴！！女主很好看>v<，剧情也可以的。,推荐,4,0
凌晨的猫,2009-02-07,说是德国版色戒有点过了，这里涉及的东西更加广阔些，其实男女主角做爱镜头不多，只是女主角露得挺狠。结尾怎么觉得有点弱呢，得知爱人去世女主角的哭戏很震撼。,推荐,4,0
Milandini,2009-04-09,Black.Book.2007.DUALAUDiO.DTS.DVDRiP.X264.iNT-KiSS revisited@CFA 2015.01.31,推荐,4,0
mazzy,2012-07-20,悬念迭起，很多前后呼应的小细节，表演自然，内涵不落俗套，非常精彩的两个半小时！,推荐,4,0
老探戈,2007-03-10,谁是我们的敌人？谁是我们的朋友？这也是犹太人面临的一个问题~,推荐,4,0
小斑,2018-11-21,情节的进展极其快。从头到尾都没有给女主角竖立明确的对立面，加入抵抗组织成为间谍营救俘虏，她都以一种“无所可失”的态度行件好事罢了。只有蒙茨例外，他认出了她是犹太人，跟她分享了失去所有亲人的痛苦。这个德国军官和那个“叛徒”的悬疑，是女主与故土最后的关联。,力荐,5,0
的云,2010-04-14,Carice van Houten是唯一亮点。,推荐,4,0
加州站街男孩,2016-10-05,导演真是无比沉迷于女性被侮辱持续被侮辱被侮辱到极限然后复仇的模式。一对比李安的色戒简直软绵绵到苍白无力，汤唯那演技也是给梅丽珊卓提鞋都不配。,推荐,4,3
m.,2010-04-06,惊险并没有随着德国的投降而结束，实在是一波三折，很精彩。女主角一袭红裙让人惊艳。2010.4.6.下载,力荐,5,0
李不空,2012-05-23,all stars go to the Actress,还行,3,0
Wayne,2009-10-06,竟然是06年的片子，竟然看的是pps阉割版，竟然是传说中的色戒欧洲版，但是比色戒好多了，下载完整版中,力荐,5,0
基督山伯爵,2009-01-21,荷兰解放后清算一切的场景让影片升华。人性，在任何国家任何时代都一样真他娘的阴暗~~~,推荐,4,0
將軍雪夜入蔡州,2012-04-11,情节是够跌宕起伏的，但是还是少了很多别的东西，看起来有点无聊。豆瓣评分8.1？呵呵呵呵呵呵呵呵呵，都是借此来装人权文艺逼的吧。,还行,3,0
你的益达,2013-05-10,全是为了红毛女巫（冰与火之歌）才看这出片子的，真是美翻的荷兰佳人啊！虽说演技没有达到与电影格局相配的水平，但那处纳粹舞会里红袍歌声注定这幕倩影将成经典。说回剧情，前面紧凑利落，后面就显得有点让人摸不着头脑甚至散乱，黑皮书的引子没有片名那么响亮。摄影很不赖，二战风云扑面而来呀！,推荐,4,0
Moon,2013-04-06,在硬盘里放了4年，终于看完，我知道这是五星片，没想到是这么精彩的五星片。,力荐,5,1
お狐,2007-06-11,看了两遍。觉得不错，只可惜情感的把握上力道不够……背叛和失去以及复仇，都没有达到应该有的情感深度。,推荐,4,0
小鸭鸭,2010-12-08,女猪脚演出挺给力啊，但不足就是脸蛋不够惊艳了，剧情可以更惊险些,力荐,5,0
